id,trim,subTrim,condition,isOneOwner,mileage,year,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,price,miles1K
6888,550,unsp,CPO,f,19784,2011,Black,5.5 L,Gasoline,OH,ENC,Harman Kardon,Alloy,unsp,65,57995,19.784
6895,550,unsp,Used,f,21882,2011,Gray,5.5 L,Gasoline,WA,Pac,unsp,unsp,unsp,13,49880,21.882
6897,550,unsp,Used,t,34944,2011,Gray,5.5 L,Gasoline,NY,Mid,Premium,unsp,unsp,50,44995,34.944
6898,550,unsp,Used,f,20756,2011,Black,5.5 L,Gasoline,MA,New,unsp,unsp,unsp,49,55998,20.756
6900,550,unsp,CPO,t,25056,2011,Black,5.5 L,Gasoline,NH,New,Premium,Alloy,unsp,67,59994,25.056
6901,550,unsp,Used,f,26349,2011,Black,5.5 L,Gasoline,TN,ESC,unsp,Alloy,18,6,51425,26.349
6902,550,unsp,Used,t,64291,2011,Gray,5.5 L,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,50,37499,64.291
6904,550,unsp,Used,f,49227,2011,Black,5.5 L,Gasoline,NH,New,Harman Kardon,unsp,unsp,49,47988,49.227
6908,550,unsp,CPO,f,21225,2011,Silver,5.5 L,Gasoline,NY,Mid,unsp,unsp,unsp,1,63500,21.225
7432,550,unsp,Used,f,31828,2011,Black,5.5 L,Gasoline,TX,WSC,Harman Kardon,unsp,unsp,24,52991,31.828
7433,550,unsp,Used,f,38751,2011,Silver,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,55,45809,38.751
7435,550,unsp,Used,t,26278,2011,Silver,5.5 L,Gasoline,FL,SoA,Harman Kardon,Alloy,unsp,78,36750,26.278
7437,550,unsp,Used,t,29979,2011,White,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,54992,29.979
7440,550,unsp,Used,f,18279,2011,Gray,5.5 L,Gasoline,FL,SoA,Harman Kardon,Alloy,18,53,59991,18.279
7441,550,unsp,CPO,f,35574,2011,Silver,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,12,48888,35.574
7447,550,unsp,Used,t,51507,2011,White,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,66,41500,51.507
7451,550,unsp,CPO,t,39854,2011,Black,5.5 L,Gasoline,FL,SoA,Premium,Alloy,unsp,84,45956,39.854
7452,550,unsp,Used,t,29237,2011,Black,5.5 L,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,81,49990,29.237
7539,550,unsp,Used,f,19704,2011,Black,5.5 L,Gasoline,MA,New,unsp,unsp,unsp,0,51748,19.704
7541,550,unsp,Used,t,60364,2011,Silver,5.5 L,Gasoline,NJ,Mid,Harman Kardon,unsp,unsp,97,36942,60.364
7545,550,unsp,Used,f,58176,2011,Silver,5.5 L,Gasoline,IL,ENC,unsp,unsp,unsp,9,44980,58.176
7546,550,unsp,CPO,f,68790,2011,Silver,5.5 L,Gasoline,IN,ENC,unsp,Alloy,unsp,82,40889,68.79
7548,550,unsp,CPO,f,46902,2011,Silver,5.5 L,Gasoline,CO,Mtn,Premium,Alloy,unsp,76,49991,46.902
7557,550,unsp,Used,t,45734,2011,Black,5.5 L,Gasoline,FL,SoA,Premium,Alloy,18,72,35999,45.734
7561,550,unsp,Used,f,44366,2011,Black,5.5 L,Gasoline,VA,SoA,unsp,unsp,unsp,6,40995,44.366
7562,550,unsp,CPO,f,25374,2011,Gray,5.5 L,Gasoline,NC,SoA,Premium,Alloy,unsp,69,53900,25.374
8076,550,unsp,Used,f,71576,2011,Black,5.5 L,Gasoline,CA,Pac,Premium,Alloy,unsp,31,33995,71.576
8078,550,unsp,CPO,f,45630,2011,Black,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,29,47994,45.63
8083,550,unsp,Used,t,35930,2011,Black,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,5,54800,35.93
8084,550,unsp,Used,f,47980,2011,Black,5.5 L,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,63,41988,47.98
8087,550,unsp,CPO,f,38421,2011,Black,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,79,54780,38.421
8089,550,unsp,CPO,t,37546,2011,White,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,53988,37.546
8092,550,unsp,CPO,t,48541,2011,Gray,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,50895,48.541
8099,550,unsp,Used,f,40879,2011,White,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,62,43999,40.879
8101,550,unsp,Used,f,17313,2011,Black,5.5 L,Gasoline,TN,ESC,unsp,unsp,unsp,32,50995,17.313
8103,550,unsp,Used,f,34490,2011,Gray,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,85,47995,34.49
8105,550,unsp,CPO,t,37655,2011,Black,5.5 L,Gasoline,CA,Pac,Premium,Alloy,unsp,74,52988,37.655
8215,550,unsp,Used,f,34169,2011,unsp,5.5 L,Gasoline,NJ,Mid,Harman Kardon,Alloy,unsp,78,47995,34.169
8217,550,unsp,CPO,t,39913,2011,Silver,5.5 L,Gasoline,NY,Mid,unsp,unsp,unsp,58,56959,39.913
8218,550,unsp,Used,f,52033,2011,Black,5.5 L,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,48,41799,52.033
8221,550,unsp,Used,f,43364,2011,Brown,5.5 L,Gasoline,MD,SoA,unsp,unsp,unsp,29,56700,43.364
8223,550,unsp,Used,f,48233,2011,Black,5.5 L,Gasoline,NY,Mid,Harman Kardon,unsp,unsp,22,40995,48.233
8230,550,unsp,Used,f,49992,2011,Black,5.5 L,Gasoline,MD,SoA,unsp,unsp,unsp,37,42988,49.992
8235,550,unsp,Used,f,34021,2011,Black,5.5 L,Gasoline,CT,New,unsp,Alloy,unsp,36,55990,34.021
8238,550,unsp,Used,t,44465,2011,White,5.5 L,Gasoline,NJ,Mid,unsp,unsp,unsp,3,47995,44.465
8239,550,unsp,CPO,f,20505,2011,Black,5.5 L,Gasoline,VA,SoA,Premium,Alloy,unsp,39,54922,20.505
8725,550,unsp,Used,f,24378,2011,Black,5.5 L,Gasoline,TX,WSC,unsp,unsp,unsp,3,48950,24.378
8729,550,unsp,Used,f,59080,2011,Black,5.5 L,Gasoline,SC,SoA,Harman Kardon,Alloy,unsp,72,49989,59.08
8730,550,unsp,Used,t,22504,2011,White,5.5 L,Gasoline,AL,ESC,Premium,Alloy,unsp,73,52288,22.504
8736,550,unsp,CPO,f,22180,2011,Black,5.5 L,Gasoline,TX,WSC,unsp,unsp,unsp,30,59995,22.18
8738,550,unsp,Used,t,56761,2011,Silver,5.5 L,Gasoline,CA,Pac,unsp,unsp,22,10,39990,56.761
8739,550,unsp,Used,t,33565,2011,Black,5.5 L,Gasoline,FL,SoA,Harman Kardon,Alloy,unsp,71,43999,33.565
8743,550,unsp,Used,f,23691,2011,Black,5.5 L,Gasoline,TX,WSC,Premium,Alloy,unsp,52,50995,23.691
8749,550,unsp,CPO,f,35113,2011,Black,5.5 L,Gasoline,CA,Pac,unsp,Alloy,unsp,82,51970,35.113
8750,550,unsp,Used,t,32316,2011,Black,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,46991,32.316
8751,550,unsp,CPO,f,11936,2011,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,64,54984,11.936
8804,63 AMG,unsp,Used,t,42869,2011,Black,5.5 L,Gasoline,NJ,Mid,Bang Olufsen,Alloy,unsp,78,68900,42.869
8865,550,unsp,Used,f,40745,2011,Black,5.5 L,Gasoline,VA,SoA,Premium,unsp,unsp,41,51950,40.745
