"item","ped","IPA"
"ORLISON IPL 6PK CAN                 ",-1.81,FALSE
"ORLISON HAVANUTHER PILS 6PK CAN     ",-1.65,FALSE
"WORTHY IMPERIAL IPA 22              ",-2.3,TRUE
"ATLAS BLKBRY APPLE CIDER            ",-0.32,FALSE
"D'S WICKED BAKED APPLE CIDER        ",-0.35,FALSE
"D'S WICKED GREEN APPLE CIDER        ",-0.45,FALSE
"LAKE CHELAN CHERRY HARD CIDER       ",-0.43,FALSE
"MAUI BIKINI BLONDE LAGER 6PK CAN    ",-1.63,FALSE
"MAUI BIG SWELL IPA 6PK CAN          ",-3.56,TRUE
"MAUI COCONUT PORTER 4 PK CAN        ",-0.93,FALSE
"HARVESTER IPA 22                    ",-2.62,TRUE
"GIGANTIC IPA 22                     ",-3.24,TRUE
"BREAKSIDE IPA 22                    ",-2.35,TRUE
"BREAKSIDE WANDERLUST 22             ",-1.12,FALSE
"21ST AMENDMENT SEASONAL 6PK CAN     ",-1.72,FALSE
"21ST AMENDMNT BREW FREE IPA 6PK     ",-3.32,TRUE
"CRUX CASTOUT IPA 6PK                ",-2.85,TRUE
"BUD 6PK 16 OZ CAN                   ",-1.81,FALSE
"CHELAN HARD CIDER                   ",-0.38,FALSE
"PFRIEM IPA                          ",-2.25,TRUE
"pFRIEM PILSNER                      ",-1.19,FALSE
"PFRIEM SEASONAL 16.9                ",-1.11,FALSE
"KULSHAN BASTARD KAT IPA 6 PK CAN    ",-2.87,TRUE
"ANGRY ORCHARD VTY 12PK              ",-1.15,FALSE
"ANGRY ORCHARD ICEMAN 750ML          ",-1.31,FALSE
"ANGRY ORCHARD CRISP APL 12PK        ",-1.48,FALSE
"ANGRY ORCHARD SEASONAL 6PK          ",-1.83,FALSE
"ANGRY ORCHARD CRISP APL 16 CAN      ",-1.39,FALSE
"ANGRY ORCH GREEN APPLE 6PK          ",-1.61,FALSE
"BITBURGER 4PK CAN                   ",-1.3,FALSE
"ANGRY ORCHARD HOP MAD               ",-1.3,FALSE
"ANGRY ORCHARD GREEN APPLE           ",-1.16,FALSE
"ANGRY ORCHARD STONE DRY CIDER 6PK   ",-1.04,FALSE
"ORCHARD EDGE KNOTTY PEAR 6PK        ",-1.64,FALSE
"SAM ADAMS REBEL GRPFRT 6PK          ",-1.43,FALSE
"SAM ADAMS BOSTON LGR 6PK            ",-1.36,FALSE
"SAM ADAMS SEASONAL 6PK              ",-1.45,FALSE
"ANGRY ORCHARD CRISP APL 6PK         ",-1.68,FALSE
"ANGRY ORCH GINGER APL 6PK           ",-1.8,FALSE
"SAPPORO CAN                         ",-1.25,FALSE
"REDHOOK ESB 12/12 OZ BTL            ",-1.17,FALSE
"NEWCASTLE BROWN ALE 6PK             ",-1.63,FALSE
"STRONGBOW GOLD CIDER 6PK            ",-0.92,FALSE
"SHINER BOCK                         ",-1.09,FALSE
"FLATBED CRISP APPLE 6PK             ",-1.74,FALSE
"FLATBED PEAR CIDER 6PK              ",-0.88,FALSE
"ILLUSIVE TRAVELER GRPFRT SHANDY 6PK ",-1.92,FALSE
"CONEY ISL HARD ROOT BEER 6PK        ",-1.58,FALSE
"NINKASI DOMINATION 22OZ             ",-1.19,FALSE
"NINKASI SEASONAL                    ",-1.3,FALSE
"NINKASI TTL DOM IPA 6PK             ",-3.19,TRUE
"REDHOOK VTY 12PK                    ",-1.18,FALSE
"NINKASI SEASONAL 6PK                ",-1.9,FALSE
"BEERS OF MEXICO VTY 12PK            ",-1.11,FALSE
"LAURELWOOD WORKHORSE IPA 6PK        ",-3.06,TRUE
"LAURELWOOD SEASONAL 6PK             ",-1.87,FALSE
"DIAMOND KNOT INDUSTRIAL IPA         ",-1.84,TRUE
"ANDERSON VALLEY BRBN BRL STOUT      ",-1.16,FALSE
"NOT YOUR FATHERS ROOT BEER 16 CAN   ",-1.02,FALSE
"NOT YOUR FATHERS ROOT BEER 6PK      ",-1.24,FALSE
"ROGUE BRUTAL BITTER                 ",-1.33,FALSE
"ROGUE FARMS 7 HOP IPA 22            ",-2.57,TRUE
"REDHOOK AUDIBLE ALE 6PK             ",-1.51,FALSE
"ROGUE DEAD GUY ALE 6PK              ",-1.87,FALSE
"PORTLAND BREWING SEASONAL           ",-1.24,FALSE
"BRIDGEPORT HOP CZAR IPA 6PK         ",-3.08,TRUE
"STUMPTOWN CANDYPEEL IPA 6PK         ",-3.15,TRUE
"DIAMOND KNOT BLONDE 6 PK CAN        ",-1.32,FALSE
"REDHOOK LONGHAMMER IPA 6PK          ",-3.08,TRUE
"RED HOOK SEASONAL                   ",-1.27,FALSE
"REDHOOK ESB 6PK                     ",-1.78,FALSE
