"Subject","Session","Trial","FarAway","Littered","PictureTarget.RT","Side"
26,1,1,0,0,577,"right"
26,1,2,0,0,620,"right"
26,1,3,0,0,606,"right"
26,1,4,0,0,588,"right"
26,1,5,0,0,551,"left"
26,1,6,0,0,613,"left"
26,1,7,0,0,532,"right"
26,1,8,0,0,502,"left"
26,1,9,0,0,559,"left"
26,1,10,0,0,502,"left"
26,2,1,0,0,593,"right"
26,2,2,0,0,435,"left"
26,2,3,0,0,507,"right"
26,2,4,0,0,545,"right"
26,2,5,0,0,467,"right"
26,2,6,0,0,551,"left"
26,2,7,0,0,581,"right"
26,2,8,0,0,467,"left"
26,2,9,0,0,397,"left"
26,2,10,0,0,430,"left"
26,3,1,0,0,475,"left"
26,3,2,0,0,401,"left"
26,3,3,0,0,490,"right"
26,3,4,0,0,708,"right"
26,3,5,0,0,550,"left"
26,3,6,0,0,434,"left"
26,3,7,0,0,464,"left"
26,3,8,0,0,533,"right"
26,3,9,0,0,376,"right"
26,3,10,0,0,411,"right"
26,4,1,0,0,416,"right"
26,4,2,0,0,422,"left"
26,4,3,0,0,469,"right"
26,4,4,0,0,426,"left"
26,4,5,0,0,496,"right"
26,4,6,0,0,424,"left"
26,4,7,0,0,396,"left"
26,4,8,0,0,490,"right"
26,4,9,0,0,537,"left"
26,4,10,0,0,444,"right"
6,1,1,0,0,669,"right"
6,1,2,0,0,684,"right"
6,1,3,0,0,604,"right"
6,1,4,0,0,555,"left"
6,1,5,0,0,603,"right"
6,1,6,0,0,455,"left"
6,1,7,0,0,471,"right"
6,1,8,0,0,823,"left"
6,1,9,0,0,575,"left"
6,1,10,0,0,897,"left"
6,2,1,0,0,478,"right"
6,2,2,0,0,597,"right"
6,2,3,0,0,543,"left"
6,2,4,0,0,461,"left"
6,2,5,0,0,548,"right"
6,2,6,0,0,447,"left"
6,2,7,0,0,486,"left"
6,2,8,0,0,421,"right"
6,2,9,0,0,539,"right"
6,2,10,0,0,423,"left"
6,3,1,0,0,602,"right"
6,3,2,0,0,427,"left"
6,3,3,0,0,582,"left"
