Year,Month,Day,Temp
2008,2,15,24
2008,2,16,32.3
2008,2,17,31.7
2008,2,18,18.9
2008,2,19,22.3
2008,2,20,14
2008,2,21,20.6
2008,2,22,29.7
2008,2,23,34
2008,2,24,37
2008,2,25,33.3
2008,2,26,26.4
2008,2,27,33.3
2008,2,28,43.2
2008,2,29,41.4
2008,3,1,45.6
2008,3,2,42.8
2008,3,3,32.6
2008,3,4,39.8
2008,3,5,25.8
2008,3,6,22.7
2008,3,7,13.5
2008,3,8,36.4
2008,3,9,36.6
2008,3,10,50.6
2008,3,11,48.8
2008,3,12,48.1
2008,3,13,39.2
2008,3,14,32
2008,3,15,29.8
2008,3,16,28.4
2008,3,17,35.4
2008,3,18,39.8
2008,3,19,36.2
2008,3,20,37.9
2008,3,21,33.7
2008,3,22,32.9
2008,3,23,30.7
2008,3,24,41.5
2008,3,25,43.2
2008,3,26,36.9
2008,3,27,29.4
2008,3,28,30.5
2008,3,29,41.4
2008,3,30,31.2
2008,3,31,27.5
2008,4,1,25.8
2008,4,2,35.7
2008,4,3,39.4
2008,4,4,44.4
2008,4,5,44.7
2008,4,6,33.7
2008,4,7,29.2
2008,4,8,35.1
2008,4,9,36.2
2008,4,10,34.5
2008,4,11,34.4
2008,4,12,39.4
2008,4,13,39.7
2008,4,14,51.2
2008,4,15,65.5
2008,4,16,44.2
2008,4,17,39.4
2008,4,18,45.6
2008,4,19,52.3
2008,4,20,55.9
2008,4,21,34.8
2008,4,22,43.6
2008,4,23,48.2
2008,4,24,41.4
2008,4,25,35.1
2008,4,26,38.1
2008,4,27,38.1
2008,4,28,44
2008,4,29,55.6
2008,4,30,58.4
2008,5,1,42.3
2008,5,2,30.8
2008,5,3,34.9
2008,5,4,54.1
2008,5,5,53.8
2008,5,6,59.1
2008,5,7,51
2008,5,8,48.5
2008,5,9,43.7
2008,5,10,41.3
2008,5,11,45
2008,5,12,53
2008,5,13,48.2
2008,5,14,48.9
2008,5,15,53.5
2008,5,16,61
2008,5,17,65.6
2008,5,18,64.8
2008,5,19,66.8
2008,5,20,60.5
2008,5,21,57.3
2008,5,22,50.7
